review,stars,useful,funny,cool,cone,yogurt,shake,shakes,sorbet,gelato,sundae,waffle,sherbet,smoothie,slush
255,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
257,5,2,0,2,0,0,0,0,0,0,1,0,0,0,0
267,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
269,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0
270,4,4,5,1,0,2,0,0,0,0,0,0,0,0,0
287,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
288,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0
289,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
293,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
301,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
306,5,0,0,0,1,0,0,0,1,0,0,2,0,0,0
307,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0
310,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0
311,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
312,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
315,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0
319,5,1,0,1,0,0,0,0,0,1,0,1,0,0,0
323,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
324,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0
332,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
334,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
337,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
338,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
343,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
347,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
350,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0
351,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
358,4,1,0,1,0,5,0,0,0,0,0,0,0,0,0
360,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0
362,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
364,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
365,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
367,4,11,11,11,0,1,0,0,0,0,0,0,0,0,0
368,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
371,3,4,3,5,0,0,0,2,0,0,0,0,0,0,0
372,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
373,4,0,0,0,3,0,0,0,0,0,0,2,0,0,0
375,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
376,5,0,0,1,3,0,0,0,0,0,0,2,0,0,0
378,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
382,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0
383,5,0,0,1,6,0,0,0,0,0,0,2,0,0,0
384,5,5,2,4,0,0,0,0,0,0,1,0,0,0,0
387,4,1,0,2,0,0,0,0,0,1,0,0,0,0,0
388,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
395,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
399,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
401,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
413,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
415,2,3,1,0,1,1,0,0,0,0,0,2,0,0,0
416,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0
420,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
421,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
422,5,3,4,2,0,0,0,0,0,2,0,0,0,0,0
434,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
435,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
445,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
450,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0
453,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0
455,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
457,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0
459,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
461,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0
462,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
470,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
473,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
477,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
482,5,2,0,2,0,0,0,0,0,1,0,0,0,0,0
484,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
493,4,4,1,4,0,0,0,2,0,0,0,0,0,0,0
503,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
506,5,2,0,2,0,0,0,1,0,1,0,0,0,0,0
508,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
509,4,9,14,8,1,0,0,0,0,1,0,0,0,0,0
510,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
511,4,1,1,1,0,0,0,0,1,3,0,0,0,0,0
514,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0
523,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
527,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
533,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
537,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0
538,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0
541,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
543,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
545,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
551,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
553,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0
554,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
560,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
565,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0
568,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
570,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0
573,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
576,3,4,2,3,0,0,2,1,0,0,0,0,0,0,0
578,5,8,5,7,0,1,0,0,0,0,0,0,0,0,0
580,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
582,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
587,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
588,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
589,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
591,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
592,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
595,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0
596,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
599,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0
600,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
602,4,21,17,26,2,0,0,2,0,0,0,0,0,0,0
613,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
617,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
624,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
635,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
637,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
638,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0
639,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
644,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0
645,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
647,4,4,2,4,0,0,0,0,0,0,1,0,0,0,0
650,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
658,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0
659,4,6,3,5,0,0,1,0,0,0,0,0,0,0,0
663,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0
670,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
676,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
677,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0
678,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0
680,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0
693,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
701,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
703,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
707,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
709,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
713,4,1,0,1,0,0,0,1,0,0,0,1,0,0,0
716,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
722,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
723,4,4,6,3,0,1,0,0,0,0,0,0,0,0,0
735,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
739,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0
742,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0
744,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
745,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0
747,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
749,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0
762,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
764,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
765,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0
766,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0
769,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0
778,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
784,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
789,4,2,0,2,0,0,0,2,0,0,0,0,0,0,0
791,4,4,1,3,0,0,0,0,0,4,0,0,0,0,0
793,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0
794,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0
796,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0
802,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
810,4,1,1,1,0,0,0,2,0,0,0,0,0,0,0
811,5,1,1,0,0,0,0,0,3,1,0,0,0,0,0
816,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
827,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
829,4,1,0,1,0,0,0,0,0,3,0,0,0,0,0
836,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0
837,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0
838,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0
842,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
843,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
846,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0
847,5,20,18,25,0,0,0,0,0,6,0,1,0,0,0
850,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
851,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0
855,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0
858,5,0,0,0,1,0,0,0,1,2,0,1,0,0,0
860,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0
864,1,1,2,0,0,4,0,0,0,0,0,0,0,0,0
867,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
869,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
873,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
877,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
880,4,2,2,3,1,0,0,0,0,0,0,0,0,0,0
891,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0
899,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
905,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
907,3,1,0,0,0,0,0,0,2,0,0,2,0,0,0
924,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
927,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
932,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0
933,5,3,0,1,1,2,0,0,0,0,0,0,0,0,0
937,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0
943,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
946,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
947,2,4,4,1,0,4,0,0,0,0,0,0,0,0,0
950,5,1,1,1,0,6,0,0,0,0,0,0,0,0,0
951,3,3,3,2,0,0,0,1,0,0,0,0,0,0,0
958,5,0,0,1,0,0,0,0,0,4,0,0,0,0,0
965,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0
966,4,1,0,2,1,0,0,1,0,0,0,0,0,0,0
969,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
970,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0
980,5,3,0,4,0,0,0,0,0,3,0,0,0,0,0
986,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0
997,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0
1013,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1016,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1019,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1026,4,0,2,0,0,0,0,0,0,4,0,0,0,0,0
1034,4,1,0,1,0,0,0,0,0,0,0,2,0,0,0
1042,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1046,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1048,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1049,5,1,1,2,0,0,0,0,0,1,0,0,0,0,0
1051,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1053,4,2,1,1,0,1,0,0,1,0,0,0,0,0,0
1071,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1072,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1078,4,4,1,3,1,0,0,0,0,0,0,0,0,0,0
1079,5,1,0,0,0,5,0,0,0,0,0,0,0,2,0
1080,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1084,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1089,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1090,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1094,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1095,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1098,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1099,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1101,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1108,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1109,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1112,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0
1116,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0
1125,5,2,4,2,0,1,0,0,0,0,0,0,0,0,0
1126,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1127,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1130,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0
1131,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1134,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1135,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1137,4,3,0,2,0,0,0,0,0,3,0,0,0,0,0
1138,4,1,0,0,0,0,0,0,0,6,0,0,0,0,0
1141,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1142,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1146,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0
1147,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1148,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1151,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1153,3,3,0,2,0,0,4,0,0,0,0,0,0,0,0
1154,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1161,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1163,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1164,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1169,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1174,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1192,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1196,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1198,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1206,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1207,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1209,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1212,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1214,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1218,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1230,5,5,1,3,0,0,0,0,0,3,0,0,0,0,0
1236,5,4,2,3,0,0,0,0,0,0,1,0,0,0,0
1241,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0
1244,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1246,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1247,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1249,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1254,4,2,1,2,0,0,0,0,0,3,0,0,0,0,0
1255,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1256,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1258,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1262,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1265,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1267,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1271,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1274,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0
1277,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1278,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1285,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0
1286,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1302,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1304,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1305,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0
1307,2,2,0,1,0,7,0,0,0,0,0,0,0,0,0
1308,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1312,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1313,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1314,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1321,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1322,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1323,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1324,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1329,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1331,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1332,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1333,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1346,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1350,5,1,1,2,1,0,0,1,0,3,0,0,0,0,0
1353,5,7,5,6,0,0,0,0,1,2,0,0,0,0,0
1357,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1359,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1360,4,4,1,4,2,0,0,0,1,1,0,1,0,0,0
1361,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1362,5,8,8,9,0,0,0,0,0,4,0,0,0,0,0
1365,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1368,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1369,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1371,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1378,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1379,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0
1380,4,2,1,3,0,4,0,0,0,0,0,0,0,0,0
1383,4,5,3,6,1,0,0,0,0,0,0,0,0,0,0
1385,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1386,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1412,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1413,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1415,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1420,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1421,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0
1425,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1427,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1428,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1429,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0
1432,5,2,2,2,0,0,0,0,1,0,0,0,0,0,0
1437,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1439,5,1,1,2,0,0,0,0,0,2,0,0,0,0,0
1442,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1448,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1450,5,8,4,7,0,0,0,0,0,2,0,0,0,0,0
1455,4,3,3,3,1,0,0,0,0,0,0,0,0,0,0
1457,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1459,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1460,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1461,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1464,5,10,5,9,0,0,0,0,0,1,0,0,0,0,0
1469,4,2,0,2,2,0,0,0,0,0,0,1,0,0,0
1471,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
1474,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1478,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1484,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1485,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1491,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0
1492,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1493,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1496,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1497,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1503,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1507,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1511,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1513,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1516,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1517,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1518,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1523,4,1,0,1,0,0,0,0,0,3,0,0,0,0,0
1531,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1533,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1536,5,3,2,2,0,0,0,0,0,0,0,0,0,1,0
1537,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1539,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0
