business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,categories,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ju5N_-2Jk374uBu4zaxGAA,Yogurt Court,6932 W State St,Boise,ID,83714,43.66755,-116.27677,2.5,7,0,NA,TRUE,NA,2,NA,TRUE,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Food",11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:0,11:0-22:0,11:0-22:0,12:0-21:30,,,,,,,,,,,,,,,,,,,,,,,,,
sophKEDc2rBDe-cuOaJDkA,365 Caffe Italiano,"28210 Paseo Dr, Ste 100, Shops At Wiregrass",Wesley Chapel,FL,33543,28.18795,-82.35006,4.5,127,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True},TRUE,NA,TRUE,FALSE,TRUE,TRUE,'none',TRUE,'casual',{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True},FALSE,TRUE,NA,'average',{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True},FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Breakfast & Brunch, Coffee & Tea, Food, Ice Cream & Frozen Yogurt, Creperies, Gelato, Comfort Food, Sandwiches, Restaurants, Cafes",9:0-19:0,10:0-20:30,10:0-20:30,18:0-1:0,10:0-21:0,10:0-21:0,10:0-19:0,,,,,,,,,,,,
zQ3tnBABoypncWu5oW2bKA,Huddles Frozen Yogurt,"110 W Main St, Ste 115",Carmel,IN,46032,39.97863,-86.12878,4.5,19,0,NA,TRUE,NA,1,NA,NA,NA,NA,'no',{'garage': None, 'street': True, 'validated': False, 'lot': None, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Food",11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,10:0-0:0,10:0-0:0,10:0-22:0,,,,,,,,,,,,,,,,,,,,,,,,,
Ei0wJeADbNtwvA9CrvknJw,Cocco's Gelateria,550 S Oak Ave,Primos,PA,19018,39.91997,-75.29846,4.5,37,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coffee & Tea, Bakeries, Desserts, Food, Ice Cream & Frozen Yogurt",14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,14:0-22:0,9:0-22:0,12:0-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
0AQJ-QTu7GtxaP4SoD07yA,Sno-La Snowball Lounge,2311 N Causeway Blvd,New Orleans,LA,70001,29.99435,-90.15504,4.5,177,0,NA,TRUE,FALSE,1,NA,TRUE,FALSE,TRUE,u'free',{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,NA,NA,FALSE,u'quiet',NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Shaved Ice, Food, Desserts",0:0-0:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-20:0,,,,,,,,,,,,,,,,,,,,,,,,,
p9tB3Fiszn1HMLUE-97K4g,Froyo Fresh,12211 W Linebaugh Ave,Tampa,FL,33626,28.05683,-82.62591,4,76,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,TRUE,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,u'none',NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Desserts, Event Planning & Services, Food, Caterers, Ice Cream & Frozen Yogurt",11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,,,,,,,,,,,,,,,,,,,,,,,,,
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,4618 Baltimore Ave,Philadelphia,PA,19143,39.94866,-75.21583,4.5,458,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,TRUE,u'no',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,TRUE,TRUE,FALSE,NA,u'none',TRUE,u'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},NA,TRUE,NA,u'quiet',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food",12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,,,,,,,,,,,,
8fTaOcdyJwJJtN7dbRNpiw,Video Library,7157 Germantown Ave,Philadelphia,PA,19119,40.06,-75.19071,3.5,7,0,NA,TRUE,NA,1,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shopping, Books, Mags, Music & Video, Videos & Video Game Rental, Arts & Entertainment, Food, Cinema, Ice Cream & Frozen Yogurt",16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0,,,,,,,,,,,,,,,,,,,,,,,,,
aJpDjaMVhWZRLdwZtqQjEg,T.H.I.S. Place,10382 105 Street,Edmonton,AB,T5J 1E6,53.54607,-113.50125,4.5,24,0,NA,NA,TRUE,1,NA,TRUE,FALSE,FALSE,u'free',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,TRUE,TRUE,TRUE,NA,'beer_and_wine',TRUE,u'casual',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},NA,TRUE,NA,u'quiet',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Vietnamese, Desserts, Food, Coffee & Tea, Restaurants",8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,NA,NA,,,,,,,,,,,,,,,,,
TTsBa6e2qgIEkiFQfYLmYA,Twistee Treat - New Tampa,8810 New Tampa Blvd,Tampa,FL,33647,28.14407,-82.35399,3.5,70,1,NA,TRUE,TRUE,1,NA,TRUE,FALSE,FALSE,'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,TRUE,TRUE,FALSE,TRUE,NA,TRUE,NA,{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False},NA,TRUE,NA,u'average',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, American (Traditional), Food, Desserts, Hot Dogs, Restaurants",0:0-0:0,13:0-23:0,13:0-23:0,13:0-20:0,13:0-0:0,13:0-0:0,13:0-23:0,,,,,,,,,,,,
ws-gbVjt56zCQC-CR5pjTQ,Dunkin',717 Cypress Village Blvd,Ruskin,FL,33573,27.7139,-82.37645,2.5,29,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,NA,'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coffee & Tea, Bagels, Ice Cream & Frozen Yogurt, Food, Donuts",5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,,,,,,,,,,,,,,,,,,,,,,,,,
m6KZGTxRb9_ZyDpB1G6O1Q,Freddy's Frozen Custard & Steakburgers,3725 W Orange Grove Rd,Marana,AZ,85741,32.32321,-111.04425,3.5,112,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,TRUE,TRUE,FALSE,NA,'none',TRUE,u'casual',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},NA,TRUE,TRUE,u'average',{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Burgers, Ice Cream & Frozen Yogurt, American (Traditional), Desserts, Restaurants",10:30-20:0,10:30-20:0,10:30-20:0,10:30-20:0,10:30-20:0,10:30-20:0,10:30-20:0,,,,,,,,,,,,
bwlSGCjYLNwzXVD9CB_8EA,Hugs & Yogurt Cafe,2844 W Moreland Rd,Willow Grove,PA,19090,40.14784,-75.12804,4,15,0,NA,TRUE,TRUE,1,NA,TRUE,FALSE,FALSE,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,FALSE,TRUE,FALSE,NA,u'none',TRUE,'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},NA,TRUE,NA,'quiet',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Cafes, Juice Bars & Smoothies, Coffee & Tea, Food, Restaurants, Desserts",12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-23:0,12:0-23:0,12:0-22:0,,,,,,,,,,,,,,,,,
NouhbGP5s17DZ9hExLYAkA,Dairy Queen,514 S St,Philadelphia,PA,19147,40.07907,-74.93122,2,6,0,NA,TRUE,NA,2,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Ice Cream & Frozen Yogurt",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
k7oZJB7BSx37e-masOmiLQ,Hattie Jane's Creamery,5055 Broadway Place,Nashville,TN,37203,36.16019,-86.77974,4.5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Ice Cream & Frozen Yogurt, Restaurants, Desserts",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0F-h3xJm_6gHDKcDQwSrQ,Capogiro Gelato,3925 Walnut St,Philadelphia,PA,19104,39.95417,-75.20138,4,252,0,NA,TRUE,TRUE,2,NA,TRUE,FALSE,FALSE,u'free',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,TRUE,TRUE,FALSE,FALSE,NA,'none',TRUE,'casual',{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True},NA,TRUE,NA,'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pizza, Restaurants, Gelato, Coffee & Tea, Ice Cream & Frozen Yogurt, Food",8:0-22:30,8:0-22:30,8:0-22:30,8:0-22:30,8:0-0:0,8:0-0:0,8:0-22:30,,,,,,,,,,,,,,,,,
YNAjAJFVqbbQsWBu10keGw,Cakes Plus,9612 W Linebaugh,Tampa,FL,33626,28.04292,-82.59295,4,27,0,NA,TRUE,TRUE,1,NA,TRUE,FALSE,NA,'free',{'garage': False, 'street': None, 'validated': None, 'lot': None, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Desserts, Cupcakes, Ice Cream & Frozen Yogurt, Food, Bakeries",0:0-0:0,NA,NA,NA,12:0-18:0,12:0-18:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,
lyFk5UsYV-qWEuv9lJZ06g,Yogoluv,12520 Olive Blvd,Saint Louis,MO,63141,38.67512,-90.46367,3.5,21,0,NA,TRUE,NA,1,NA,NA,NA,NA,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Food",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
VzKca5jeWbfDeqzZZRElzQ,California Shakes & Juice Bar,1750 Deptford Center Rd,Deptford Township,NJ,8096,39.83153,-75.09798,5,6,1,NA,TRUE,NA,NA,NA,TRUE,NA,NA,u'paid',{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Ice Cream & Frozen Yogurt, Juice Bars & Smoothies, Coffee & Tea",0:0-0:0,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30,8:0-18:0,,,,,,,,,,,,,,,,,,,,,,,,,
F3dxQiOwN55rSLw-BNSq6A,Sweet Alley,955 Embarcadero Del Mar,Goleta,CA,93117,34.41201,-119.85754,4,51,0,NA,TRUE,TRUE,1,NA,TRUE,None,FALSE,'free',{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acai Bowls, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Bubble Tea, Desserts, Food",11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,,,,,,,,,,,,,,,,,,,,,,,,,
5p27FvnOgrDs-i6dHccC0g,Clementine's Naughty and Nice Creamery,4715 Macklind Ave,St. Louis,MO,63109,38.58639,-90.28454,4.5,66,1,NA,TRUE,TRUE,2,NA,TRUE,TRUE,TRUE,u'free',{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Food",12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
UGebrYgNZrMzbGbcI01JWA,Hiccups & Churroholic,13030 N Dale Mabry Hwy,Tampa,FL,33618,28.06458,-82.50571,4.5,108,1,NA,NA,NA,2,NA,TRUE,TRUE,NA,NA,{u'valet': False, u'garage': False, u'street': None, u'lot': None, u'validated': False},NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juice Bars & Smoothies, Restaurants, Chicken Wings, Food, Asian Fusion, Ice Cream & Frozen Yogurt, Desserts",11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,,,,,,,,,,,,,,,,,,,,,,,,,
pXb7pDVPayyElIqVlh1FOg,Brown Chicken Brown Cow,1321 S 2nd St,Philadelphia,PA,19147,39.93103,-75.14781,4,5,0,NA,FALSE,NA,1,NA,NA,NA,NA,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ice Cream & Frozen Yogurt, Coffee & Tea, Food",15:0-20:0,15:0-20:0,15:0-20:0,15:0-20:0,15:0-20:0,9:0-20:0,9:0-20:0,,,,,,,,,,,,,,,,,,,,,,,,,
1feuZITxuTrl9mr7V11kwQ,Frost Gelato,"7131 N Oracle Rd, Ste 101",Tucson,AZ,85704,32.33629,-110.97812,4.5,217,1,NA,TRUE,TRUE,1,NA,TRUE,None,FALSE,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coffee & Tea, Desserts, Gelato, Food, Ice Cream & Frozen Yogurt",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
